Date,SP500
19-Dec,"3,230.78"
19-Nov,"3,140.98"
19-Oct,"3,037.56"
19-Sep,"2,976.74"
19-Aug,"2,926.46"
19-Jul,"2,980.38"
19-Jun,"2,941.76"
19-May,"2,752.06"
19-Apr,"2,945.83"
19-Mar,"2,834.40"
19-Feb,"2,784.49"
19-Jan,"2,704.10"
18-Dec,"2,506.85"
18-Nov,"2,760.17"
18-Oct,"2,711.74"
18-Sep,"2,913.98"
18-Aug,"2,901.52"
18-Jul,"2,816.29"
18-Jun,"2,718.37"
18-May,"2,705.27"
18-Apr,"2,648.05"
18-Mar,"2,640.87"
18-Feb,"2,713.83"
18-Jan,"2,823.81"
17-Dec,"2,673.61"
17-Nov,"2,647.58"
17-Oct,"2,575.26"
17-Sep,"2,519.36"
17-Aug,"2,471.65"
17-Jul,"2,470.30"
17-Jun,"2,423.41"
17-May,"2,411.80"
17-Apr,"2,384.20"
17-Mar,"2,362.72"
17-Feb,"2,363.64"
17-Jan,"2,278.87"
16-Dec,"2,238.83"
16-Nov,"2,198.81"
16-Oct,"2,126.15"
16-Sep,"2,168.27"
16-Aug,"2,170.95"
16-Jul,"2,173.60"
16-Jun,"2,098.86"
16-May,"2,096.96"
16-Apr,"2,065.30"
16-Mar,"2,059.74"
16-Feb,"1,932.23"
16-Jan,"1,940.24"
15-Dec,"2,043.94"
15-Nov,"2,080.41"
15-Oct,"2,079.36"
15-Sep,"1,920.03"
15-Aug,"1,972.18"
15-Jul,"2,103.84"
15-Jun,"2,063.11"
15-May,"2,107.39"
15-Apr,"2,085.51"
15-Mar,"2,067.89"
15-Feb,"2,104.50"
15-Jan,"1,994.99"
14-Dec,"2,058.90"
14-Nov,"2,067.56"
14-Oct,"2,018.05"
14-Sep,"1,972.29"
14-Aug,"2,003.37"
14-Jul,"1,930.67"
14-Jun,"1,960.23"
14-May,"1,923.57"
14-Apr,"1,883.95"
14-Mar,"1,872.34"
14-Feb,"1,859.45"
14-Jan,"1,782.59"
13-Dec,"1,848.36"
13-Nov,"1,805.81"
13-Oct,"1,756.54"
13-Sep,"1,681.55"
13-Aug,"1,632.97"
13-Jul,"1,685.73"
13-Jun,"1,606.28"
13-May,"1,630.74"
13-Apr,"1,597.57"
13-Mar,"1,569.19"
13-Feb,"1,514.68"
13-Jan,"1,498.11"
12-Dec,"1,426.19"
12-Nov,"1,416.18"
12-Oct,"1,412.16"
12-Sep,"1,440.67"
12-Aug,"1,406.58"
12-Jul,"1,379.32"
12-Jun,"1,362.16"
12-May,"1,310.33"
12-Apr,"1,397.91"
12-Mar,"1,408.47"
12-Feb,"1,365.68"
12-Jan,"1,312.41"
11-Dec,"1,257.60"
11-Nov,"1,246.96"
11-Oct,"1,253.30"
11-Sep,"1,131.42"
11-Aug,"1,218.89"
11-Jul,"1,292.28"
11-Jun,"1,320.64"
11-May,"1,345.20"
11-Apr,"1,363.61"
11-Mar,"1,325.83"
11-Feb,"1,327.22"
11-Jan,"1,286.12"
10-Dec,"1,257.64"
10-Nov,"1,180.55"
10-Oct,"1,183.26"
10-Sep,"1,141.20"
10-Aug,"1,049.33"
10-Jul,"1,101.60"
10-Jun,"1,030.71"
10-May,"1,089.41"
10-Apr,"1,186.69"
10-Mar,"1,169.43"
10-Feb,"1,104.49"
10-Jan,"1,073.87"
9-Dec,"1,115.10"
9-Nov,"1,095.63"
9-Oct,"1,036.19"
9-Sep,"1,057.08"
9-Aug,"1,020.62"
9-Jul,987.48
9-Jun,919.32
9-May,919.14
9-Apr,872.81
9-Mar,797.87
9-Feb,735.09
9-Jan,825.88
8-Dec,903.25
8-Nov,896.24
8-Oct,968.75
8-Sep,"1,166.36"
8-Aug,"1,282.83"
8-Jul,"1,267.38"
8-Jun,"1,280.00"
8-May,"1,400.38"
8-Apr,"1,385.59"
8-Mar,"1,322.70"
8-Feb,"1,330.63"
8-Jan,"1,378.55"
7-Dec,"1,468.36"
