Date,Public
11/29/21,2.26457E+13
11/26/21,2.26489E+13
11/24/21,2.26514E+13
11/23/21,2.26458E+13
11/22/21,2.26573E+13
11/19/21,2.26665E+13
11/18/21,2.26666E+13
11/17/21,2.26702E+13
11/16/21,2.26601E+13
11/15/21,2.26702E+13
11/12/21,2.26774E+13
11/10/21,2.26759E+13
11/9/21,2.26584E+13
11/8/21,2.26661E+13
11/5/21,2.2671E+13
11/4/21,2.26718E+13
11/3/21,2.2675E+13
11/2/21,2.266E+13
11/1/21,2.26799E+13
10/29/21,2.26371E+13
10/28/21,2.26309E+13
10/27/21,2.26252E+13
10/26/21,2.26101E+13
10/25/21,2.25897E+13
10/22/21,2.25883E+13
10/21/21,2.25275E+13
10/20/21,2.24814E+13
10/19/21,2.24808E+13
10/18/21,2.24747E+13
10/15/21,2.2413E+13
10/14/21,2.23958E+13
10/13/21,2.21518E+13
10/12/21,2.21434E+13
10/8/21,2.21501E+13
10/7/21,2.21537E+13
10/6/21,2.21578E+13
10/5/21,2.2157E+13
10/4/21,2.21796E+13
10/1/21,2.2199E+13
9/30/21,2.22829E+13
9/29/21,2.22705E+13
9/28/21,2.22641E+13
9/27/21,2.22563E+13
9/24/21,2.22586E+13
9/23/21,2.22688E+13
9/22/21,2.22723E+13
9/21/21,2.22614E+13
9/20/21,2.22728E+13
9/17/21,2.22783E+13
9/16/21,2.22842E+13
9/15/21,2.22941E+13
9/14/21,2.22829E+13
9/13/21,2.22897E+13
9/10/21,2.22933E+13
9/9/21,2.2295E+13
9/8/21,2.22934E+13
9/7/21,2.22827E+13
9/3/21,2.22903E+13
9/2/21,2.22823E+13
9/1/21,2.22927E+13
8/31/21,2.22545E+13
8/30/21,2.22469E+13
8/27/21,2.22437E+13
8/26/21,2.22411E+13
8/25/21,2.2249E+13
8/24/21,2.2238E+13
8/23/21,2.22516E+13
8/20/21,2.22564E+13
8/19/21,2.2259E+13
8/18/21,2.22655E+13
8/17/21,2.22504E+13
8/16/21,2.22645E+13
8/13/21,2.22753E+13
8/12/21,2.22752E+13
8/11/21,2.22791E+13
8/10/21,2.22617E+13
8/9/21,2.22708E+13
8/6/21,2.22786E+13
8/5/21,2.22775E+13
8/4/21,2.22805E+13
8/3/21,2.22814E+13
8/2/21,2.22933E+13
7/30/21,2.22846E+13
7/29/21,2.2267E+13
7/28/21,2.22891E+13
7/27/21,2.22897E+13
7/26/21,2.22998E+13
7/23/21,2.22995E+13
7/22/21,2.22962E+13
7/21/21,2.23032E+13
7/20/21,2.2304E+13
7/19/21,2.23442E+13
7/16/21,2.23443E+13
7/15/21,2.23454E+13
7/14/21,2.22908E+13
7/13/21,2.22897E+13
7/12/21,2.23147E+13
7/9/21,2.2315E+13
7/8/21,2.23148E+13
7/7/21,2.23068E+13
7/6/21,2.23066E+13
7/2/21,2.23281E+13
7/1/21,2.23278E+13
6/30/21,2.23298E+13
6/29/21,2.21827E+13
6/28/21,2.22068E+13
6/25/21,2.22057E+13
6/24/21,2.21878E+13
6/23/21,2.21834E+13
6/22/21,2.21806E+13
6/21/21,2.21752E+13
6/18/21,2.21741E+13
6/17/21,2.21739E+13
6/16/21,2.22001E+13
6/15/21,2.21996E+13
6/14/21,2.20987E+13
6/11/21,2.20975E+13
6/10/21,2.20973E+13
6/9/21,2.21202E+13
6/8/21,2.21193E+13
6/7/21,2.21136E+13
6/4/21,2.21125E+13
6/3/21,2.21116E+13
6/2/21,2.2135E+13
6/1/21,2.2134E+13
5/28/21,2.20209E+13
5/27/21,2.19837E+13
5/26/21,2.20059E+13
5/25/21,2.20053E+13
5/24/21,2.20245E+13
5/21/21,2.20232E+13
5/20/21,2.20234E+13
5/19/21,2.20434E+13
5/18/21,2.20427E+13
5/17/21,2.20611E+13
5/14/21,2.19835E+13
5/13/21,2.19833E+13
5/12/21,2.20053E+13
5/11/21,2.20047E+13
5/10/21,2.20193E+13
5/7/21,2.20183E+13
5/6/21,2.20191E+13
5/5/21,2.20434E+13
5/4/21,2.2043E+13
5/3/21,2.20576E+13
4/30/21,2.20561E+13
4/29/21,2.19257E+13
4/28/21,2.19432E+13
4/27/21,2.19427E+13
4/26/21,2.1957E+13
4/23/21,2.19575E+13
4/22/21,2.19571E+13
4/21/21,2.19852E+13
4/20/21,2.19853E+13
4/19/21,2.19998E+13
4/16/21,2.19988E+13
4/15/21,2.19987E+13
4/14/21,2.19529E+13
4/13/21,2.19524E+13
4/12/21,2.19564E+13
4/9/21,2.19555E+13
4/8/21,2.19557E+13
4/7/21,2.19692E+13
4/6/21,2.19671E+13
4/5/21,2.19718E+13
4/2/21,2.19714E+13
4/1/21,2.19713E+13
3/31/21,2.19869E+13
3/30/21,2.18386E+13
3/29/21,2.18429E+13
3/26/21,2.18422E+13
3/25/21,2.18161E+13
3/24/21,2.18405E+13
3/23/21,2.18395E+13
3/22/21,2.18432E+13
3/19/21,2.18429E+13
3/18/21,2.1843E+13
3/17/21,2.18604E+13
3/16/21,2.18597E+13
3/15/21,2.18848E+13
3/12/21,2.17862E+13
3/11/21,2.17865E+13
3/10/21,2.18162E+13
3/9/21,2.18165E+13
3/8/21,2.18408E+13
3/5/21,2.18394E+13
3/4/21,2.18397E+13
3/3/21,2.1868E+13
3/2/21,2.18671E+13
3/1/21,2.18927E+13
2/26/21,2.17557E+13
2/25/21,2.17207E+13
2/24/21,2.17606E+13
2/23/21,2.17602E+13
2/22/21,2.1815E+13
2/19/21,2.18152E+13
2/18/21,2.18152E+13
2/17/21,2.18136E+13
2/16/21,2.18121E+13
2/12/21,2.17501E+13
2/11/21,2.17502E+13
2/10/21,2.17499E+13
2/9/21,2.17501E+13
2/8/21,2.1749E+13
2/5/21,2.17494E+13
2/4/21,2.17498E+13
2/3/21,2.17492E+13
2/2/21,2.17498E+13
2/1/21,2.17492E+13
1/29/21,2.16439E+13
1/28/21,2.16291E+13
1/27/21,2.1637E+13
1/26/21,2.16373E+13
1/25/21,2.16372E+13
1/22/21,2.16374E+13
1/21/21,2.16377E+13
1/20/21,2.16368E+13
1/19/21,2.16364E+13
1/15/21,2.16365E+13
1/14/21,2.15787E+13
1/13/21,2.15787E+13
1/12/21,2.15789E+13
1/11/21,2.15782E+13
1/8/21,2.15784E+13
1/7/21,2.15788E+13
1/6/21,2.15957E+13
