Date,IP
1/1/70,38.1217
2/1/70,38.0966
3/1/70,38.0472
4/1/70,37.9493
5/1/70,37.9051
6/1/70,37.7825
7/1/70,37.8753
8/1/70,37.8077
9/1/70,37.5471
10/1/70,36.796
11/1/70,36.5732
12/1/70,37.4131
1/1/71,37.7008
2/1/71,37.629
3/1/71,37.5883
4/1/71,37.7993
5/1/71,37.9911
6/1/71,38.1505
7/1/71,38.0397
8/1/71,37.819
9/1/71,38.4336
10/1/71,38.7213
11/1/71,38.8856
12/1/71,39.3345
1/1/72,40.2751
2/1/72,40.6932
3/1/72,40.9766
4/1/72,41.3843
5/1/72,41.39
6/1/72,41.4898
7/1/72,41.4485
8/1/72,42.0158
9/1/72,42.3429
10/1/72,42.8745
11/1/72,43.3834
12/1/72,43.8725
1/1/73,44.1952
2/1/73,44.8299
3/1/73,44.8444
4/1/73,44.7876
5/1/73,45.0922
6/1/73,45.1372
7/1/73,45.3163
8/1/73,45.2482
9/1/73,45.6148
10/1/73,45.9627
11/1/73,46.1781
12/1/73,46.0553
1/1/74,45.7415
2/1/74,45.6029
3/1/74,45.6093
4/1/74,45.4865
5/1/74,45.8299
6/1/74,45.7552
7/1/74,45.828
8/1/74,45.3423
9/1/74,45.3551
10/1/74,45.2077
11/1/74,43.7312
12/1/74,42.1667
1/1/75,41.588
2/1/75,40.6296
3/1/75,40.1811
4/1/75,40.26
5/1/75,40.1391
6/1/75,40.3939
7/1/75,40.791
8/1/75,41.2089
9/1/75,41.7455
10/1/75,41.9223
11/1/75,41.9745
12/1/75,42.5521
1/1/76,43.1271
2/1/76,43.5561
3/1/76,43.6464
4/1/76,43.8709
5/1/76,44.055
6/1/76,44.0988
7/1/76,44.3519
8/1/76,44.6538
9/1/76,44.7817
10/1/76,44.783
11/1/76,45.4764
12/1/76,45.9469
1/1/77,45.6487
2/1/77,46.3805
3/1/77,46.9566
4/1/77,47.4185
5/1/77,47.7834
6/1/77,48.1403
7/1/77,48.1927
8/1/77,48.2499
9/1/77,48.4515
10/1/77,48.5177
11/1/77,48.6111
12/1/77,48.6743
1/1/78,47.9744
2/1/78,48.2322
3/1/78,49.1693
4/1/78,50.1546
5/1/78,50.3971
6/1/78,50.7005
7/1/78,50.6512
8/1/78,50.8676
9/1/78,51.0077
10/1/78,51.3902
11/1/78,51.781
12/1/78,52.0449
1/1/79,51.7484
2/1/79,52.0053
3/1/79,52.1613
4/1/79,51.5654
5/1/79,52.0022
6/1/79,52.008
7/1/79,51.9231
8/1/79,51.5966
9/1/79,51.5842
10/1/79,51.9405
11/1/79,51.8626
12/1/79,51.9025
1/1/80,52.1712
2/1/80,52.1976
3/1/80,51.9834
4/1/80,50.9746
5/1/80,49.7086
6/1/80,49.0754
7/1/80,48.7001
8/1/80,48.8535
9/1/80,49.6791
10/1/80,50.3058
11/1/80,51.1348
12/1/80,51.4875
1/1/81,51.1668
2/1/81,50.9509
3/1/81,51.2066
4/1/81,50.9711
5/1/81,51.2645
6/1/81,51.5247
7/1/81,51.8727
8/1/81,51.8156
9/1/81,51.5692
10/1/81,51.1851
11/1/81,50.5914
12/1/81,50.053
1/1/82,49.0358
2/1/82,50.0309
3/1/82,49.6876
4/1/82,49.2266
5/1/82,48.8924
6/1/82,48.7588
7/1/82,48.5887
8/1/82,48.1582
9/1/82,48.0164
10/1/82,47.571
11/1/82,47.4235
12/1/82,47.0712
1/1/83,47.9518
2/1/83,47.6648
3/1/83,48.054
4/1/83,48.6536
5/1/83,48.9668
6/1/83,49.251
7/1/83,49.9861
8/1/83,50.5862
9/1/83,51.3227
10/1/83,51.714
11/1/83,51.9425
12/1/83,52.1897
1/1/84,53.2371
2/1/84,53.4741
3/1/84,53.7313
4/1/84,54.0454
5/1/84,54.3263
6/1/84,54.5095
7/1/84,54.6658
8/1/84,54.7307
9/1/84,54.5783
10/1/84,54.5549
11/1/84,54.74
12/1/84,54.7733
1/1/85,54.7203
2/1/85,54.91
3/1/85,54.9841
4/1/85,54.8853
