year,month,SOFR,LIBOR,FFR
2014,August,5,9.196666666666665,9
2014,September,4.555555555555555,9.081666666666667,9
2014,October,6.894736842105263,9.07,8.947368421052632
2014,November,7.666666666666667,9.621333333333334,9.6
2014,December,11.222222222222221,11.17,12.333333333333334
2015,January,7.529411764705882,11.917058823529413,12
2015,February,7.875,11.809375,11.6875
2015,March,9.736842105263158,12.192105263157895,11.578947368421053
2015,April,11.882352941176471,12.202941176470588,12.705882352941176
2015,May,7.8125,12.3375,12.6875
2015,June,9.947368421052632,12.347368421052632,13.105263157894736
2015,July,12.473684210526315,12.676315789473685,13.263157894736842
2015,August,17.61111111111111,13.011111111111111,14.555555555555555
2015,September,12.222222222222221,13.558333333333334,13.88888888888889
2015,October,10.722222222222221,13.188888888888888,12.722222222222221
2015,November,8.625,13.08125,12.125
2015,December,22.72222222222222,22.38888888888889,22.555555555555557
2016,January,38.1875,36.586875,36.625
2016,February,38.705882352941174,37.16411764705882,37.88235294117647
2016,March,34.611111111111114,37.35777777777778,36.611111111111114
2016,April,33.94444444444444,38.00611111111111,37
2016,May,32.44444444444444,38.52055555555555,37
2016,June,41.89473684210526,38.88157894736842,37.94736842105263
2016,July,37.35294117647059,41.46411764705882,40
2016,August,37.8421052631579,41.82352631578947,40
2016,September,40.94444444444444,42.193555555555555,40
2016,October,38.411764705882355,43.1064705882353,40.76470588235294
2016,November,31.823529411764707,43.41441176470588,41
2016,December,37.588235294117645,55.28247058823529,52.76470588235294
2017,January,53.411764705882355,69.05217647058824,66
2017,February,52.25,68.6631875,66
2017,March,63.25,80.44895,78.5
2017,April,80.06666666666666,92.8944,91
2017,May,78.42105263157895,92.85089473684211,91
2017,June,97.94736842105263,106.02047368421053,104.15789473684211
2017,July,102.52941176470588,117.72217647058824,116
2017,August,104.26315789473684,117.77494736842105,116
2017,September,103.58823529411765,117.817,116
2017,October,104.55555555555556,118.367,116
2017,November,109.61111111111111,118.33800000000001,116
2017,December,120,130.78143749999998,129
2018,January,134.33333333333334,143.7743888888889,142
2018,February,132.25,144.300875,142
2018,March,150.5,150.2362222222222,148.16666666666666
2018,April,173.64705882352942,170.27982352941174,169.2941176470588
2018,May,172.61111111111111,170.6161111111111,170
2018,June,181.72222222222223,183.38705555555555,181.77777777777777
2018,July,190.77777777777777,191.81488888888887,191
2018,August,191.42105263157896,191.64294736842106,191.47368421052633
2018,September,194,191.8378125,192.1875
2018,October,218.05263157894737,217.2738947368421,218.73684210526315
2018,November,221.58823529411765,217.77741176470587,219.88235294117646
2018,December,230.2,223.74026666666666,225
2019,January,243.33333333333334,238.73711111111112,240
2019,February,239.125,238.4549375,240
2019,March,240.55555555555554,238.94133333333332,240.22222222222223
2019,April,246.0625,239.2306875,241.9375
2019,May,241.11111111111111,235.76005555555557,238.88888888888889
2019,June,238.47058823529412,234.81341176470588,237.35294117647058
2019,July,244.89473684210526,235.51936842105263,240.42105263157896
2019,August,212.5,209.63222222222223,212.44444444444446
2019,September,208.75,200.897,204.91666666666666
2019,October,187.10526315789474,181.12194736842105,184.10526315789474
2019,November,156.875,153.808875,155.125
2019,December,154.2941176470588,153.26717647058823,155.05882352941177
