year,month,debt,IP,SP500,KStsy,debt_shock,KStsy_shock,Unemp,CPI
2003,February,3.68E+12,91.494,841.15,NA,0,0,5.9,183.6
2003,March,3.71E+12,91.221,848.18,NA,0,0,5.9,183.9
2003,April,3.70E+12,90.6448,916.92,NA,0,0,6,183.2
2003,May,3.78E+12,90.6163,963.59,NA,0,0,6.1,182.9
2003,June,3.82E+12,90.7372,974.5,NA,0,0,6.3,183.1
2003,July,3.90E+12,91.2028,993.32,NA,0,0,6.2,183.7
2003,August,3.95E+12,91.0119,1008.01,NA,0.001503632,0,6.1,184.5
2003,September,3.92E+12,91.6355,995.97,NA,-0.012874592,0,6.1,185.1
2003,October,3.99E+12,91.7372,1050.71,NA,0.014232894,0,6,184.9
2003,November,4.03E+12,92.3505,1058.2,NA,-0.002143923,0,5.8,185
2003,December,4.04E+12,92.4019,1111.92,NA,0.002235694,0,5.7,185.5
2004,January,4.05E+12,92.5643,1131.13,NA,-0.004960058,0,5.7,186.3
2004,February,4.13E+12,93.1092,1144.94,NA,0.011656652,0,5.6,186.7
2004,March,4.18E+12,92.7403,1126.21,NA,0.002608519,0,5.8,187.1
2004,April,4.16E+12,93.1255,1107.3,NA,-0.010754153,0,5.6,187.4
2004,May,4.21E+12,93.797,1120.68,NA,0.006717737,0,5.6,188.2
2004,June,4.22E+12,93.0677,1140.84,NA,-0.005943587,0,5.6,188.9
2004,July,4.27E+12,93.7646,1101.72,NA,0.009762313,0,5.5,189.1
2004,August,4.30E+12,93.8516,1104.24,NA,-0.002731638,0,5.4,189.2
2004,September,4.31E+12,93.9393,1114.58,NA,-0.0059896,0,5.4,189.8
2004,October,4.32E+12,94.8012,1130.2,NA,-0.000311012,0,5.5,190.8
2004,November,4.41E+12,95.0379,1173.82,NA,0.01628752,0,5.4,191.7
2004,December,4.41E+12,95.7433,1211.92,NA,-0.005923342,0,5.4,191.7
2005,January,4.43E+12,96.1164,1181.27,NA,0.009059492,0,5.3,191.6
2005,February,4.51E+12,96.82,1203.6,NA,0.009581485,0,5.4,192.4
2005,March,4.57E+12,96.6725,1180.59,NA,0.009009958,0,5.2,193.1
2005,April,4.58E+12,96.8638,1156.85,NA,-0.003994472,0,5.2,193.7
2005,May,4.53655E+12,96.9622,1191.5,NA,-0.014262832,0,5.1,193.6
2005,June,4.56045E+12,97.353,1191.33,NA,0.001126611,0,5,193.7
2005,July,4.55E+12,97.0425,1234.18,NA,-0.007161429,0,5,194.9
