Date,SOFR,,,,
8/22/14,6,,,,
8/25/14,5,,,,
8/26/14,5,,,,
8/27/14,4,,,,
8/28/14,4,,,,
8/29/14,5,,,,
9/2/14,5,,,,
9/3/14,5,,,,
9/4/14,6,,,,
9/5/14,6,,,,
9/8/14,5,,,,
9/9/14,5,,,,
9/10/14,5,,,,
9/11/14,5,,,,
9/12/14,5,,,,
9/15/14,6,,,,
9/16/14,5,,,,
9/17/14,5,,,,
9/18/14,4,,,,
9/19/14,4,,,,
9/22/14,4,,,,
9/23/14,3,,,,
9/24/14,3,,,,
9/25/14,3,,,,
9/26/14,3,,,,
9/29/14,3,,,,
9/30/14,0,,,,
10/1/14,3,,,,
10/2/14,4,,,,
10/3/14,5,,,,
10/6/14,4,,,,
10/7/14,5,,,,
10/8/14,4,,,,
10/9/14,5,,,,
10/10/14,6,,,,
10/14/14,6,,,,
10/15/14,9,,,,
10/16/14,10,,,,
10/17/14,12,,,,
10/20/14,8,,,,
10/21/14,8,,,,
10/22/14,7,,,,
10/23/14,7,,,,
10/24/14,8,,,,
10/27/14,9,,,,
10/28/14,7,,,,
10/29/14,7,,,,
10/30/14,9,,,,
10/31/14,13,,,,
11/3/14,10,,,,
11/4/14,8,,,,
11/5/14,7,,,,
11/6/14,7,,,,
11/7/14,6,,,,
11/10/14,6,,,,
11/12/14,7,,,,
11/13/14,8,,,,
11/14/14,9,,,,
11/17/14,10,,,,
11/18/14,8,,,,
11/19/14,7,,,,
11/20/14,8,,,,
11/21/14,8,,,,
11/24/14,8,,,,
11/25/14,8,,,,
11/26/14,8,,,,
11/28/14,11,,,,
12/1/14,13,,,,
12/2/14,13,,,,
12/3/14,12,,,,
12/4/14,12,,,,
12/5/14,14,,,,
12/8/14,12,,,,
12/9/14,11,,,,
12/10/14,10,,,,
12/11/14,12,,,,
12/12/14,12,,,,
12/15/14,12,,,,
12/16/14,13,,,,
12/17/14,11,,,,
12/18/14,12,,,,
12/19/14,12,,,,
12/22/14,10,,,,
12/23/14,8,,,,
12/24/14,8,,,,
12/29/14,8,,,,
12/30/14,8,,,,
12/31/14,8,,,,
1/2/15,10,,,,
1/5/15,8,,,,
1/6/15,7,,,,
1/7/15,7,,,,
1/8/15,7,,,,
1/9/15,8,,,,
1/12/15,8,,,,
1/13/15,8,,,,
1/14/15,8,,,,
1/15/15,10,,,,
1/16/15,10,,,,
1/20/15,9,,,,
1/21/15,7,,,,
1/22/15,6,,,,
1/23/15,7,,,,
1/26/15,7,,,,
1/27/15,6,,,,
1/28/15,5,,,,
1/29/15,5,,,,
1/30/15,8,,,,
2/2/15,9,,,,
2/3/15,9,,,,
2/4/15,8,,,,
2/5/15,10,,,,
2/6/15,12,,,,
2/9/15,10,,,,
2/10/15,9,,,,
2/11/15,8,,,,
2/12/15,11,,,,
2/13/15,10,,,,
2/17/15,8,,,,
2/18/15,7,,,,
2/19/15,6,,,,
2/20/15,5,,,,
2/23/15,5,,,,
2/24/15,4,,,,
2/25/15,4,,,,
2/26/15,5,,,,
2/27/15,8,,,,
3/2/15,9,,,,
3/3/15,7,,,,
3/4/15,8,,,,
3/5/15,10,,,,
3/6/15,10,,,,
3/9/15,8,,,,
3/10/15,8,,,,
3/11/15,7,,,,
3/12/15,8,,,,
3/13/15,10,,,,
3/16/15,13,,,,
3/17/15,15,,,,
3/18/15,12,,,,
3/19/15,10,,,,
3/20/15,8,,,,
3/23/15,8,,,,
3/24/15,8,,,,
3/25/15,12,,,,
3/26/15,12,,,,
3/27/15,11,,,,
3/30/15,12,,,,
3/31/15,20,,,,
4/1/15,16,,,,
4/2/15,13,,,,
4/6/15,12,,,,
4/7/15,12,,,,
4/8/15,12,,,,
4/9/15,13,,,,
4/10/15,15,,,,
4/13/15,14,,,,
4/14/15,14,,,,
4/15/15,18,,,,
4/16/15,17,,,,
4/17/15,16,,,,
4/20/15,11,,,,
4/21/15,8,,,,
4/22/15,7,,,,
4/23/15,6,,,,
4/24/15,9,,,,
4/27/15,9,,,,
4/28/15,8,,,,
4/29/15,8,,,,
4/30/15,18,,,,
5/1/15,14,,,,
5/4/15,10,,,,
5/5/15,10,,,,
5/6/15,8,,,,
5/7/15,7,,,,
5/8/15,7,,,,
5/11/15,8,,,,
5/12/15,9,,,,
5/13/15,10,,,,
5/14/15,10,,,,
5/15/15,11,,,,
5/18/15,7,,,,
5/19/15,5,,,,
5/20/15,5,,,,
5/21/15,6,,,,
5/22/15,8,,,,
5/26/15,8,,,,
5/27/15,6,,,,
5/28/15,7,,,,
5/29/15,13,,,,
6/1/15,13,,,,
6/2/15,12,,,,
6/3/15,13,,,,
6/4/15,11,,,,
6/5/15,10,,,,
6/8/15,10,,,,
6/9/15,9,,,,
6/10/15,9,,,,
6/11/15,11,,,,
6/12/15,12,,,,
6/15/15,13,,,,
6/16/15,12,,,,
6/17/15,11,,,,
6/18/15,9,,,,
6/19/15,8,,,,
6/22/15,5,,,,
6/23/15,5,,,,
6/24/15,8,,,,
6/25/15,10,,,,
6/26/15,11,,,,
6/29/15,10,,,,
6/30/15,17,,,,
7/1/15,12,,,,
7/2/15,11,,,,
7/6/15,10,,,,
7/7/15,10,,,,
7/8/15,10,,,,
7/9/15,12,,,,
7/10/15,14,,,,
7/13/15,13,,,,
7/14/15,14,,,,
7/15/15,17,,,,
7/16/15,16,,,,
7/17/15,13,,,,
7/20/15,10,,,,
7/21/15,9,,,,
7/22/15,7,,,,
7/23/15,9,,,,
