Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding
11/10/21,2.26759E+13,6.23287E+12,2.89088E+13
11/9/21,2.26584E+13,6.25039E+12,2.89088E+13
11/8/21,2.26661E+13,6.24265E+12,2.89088E+13
11/5/21,2.2671E+13,6.23782E+12,2.89088E+13
11/4/21,2.26718E+13,6.23705E+12,2.89088E+13
11/3/21,2.2675E+13,6.23371E+12,2.89087E+13
11/2/21,2.266E+13,6.24877E+12,2.89088E+13
11/1/21,2.26799E+13,6.2288E+12,2.89088E+13
10/29/21,2.26371E+13,6.27168E+12,2.89088E+13
10/28/21,2.26309E+13,6.27783E+12,2.89088E+13
10/27/21,2.26252E+13,6.28354E+12,2.89088E+13
10/26/21,2.26101E+13,6.29865E+12,2.89088E+13
10/25/21,2.25897E+13,6.31904E+12,2.89088E+13
10/22/21,2.25883E+13,6.32049E+12,2.89088E+13
10/21/21,2.25275E+13,6.35372E+12,2.88812E+13
10/20/21,2.24814E+13,6.34747E+12,2.88289E+13
10/19/21,2.24808E+13,6.36168E+12,2.88425E+13
10/18/21,2.24747E+13,6.34661E+12,2.88213E+13
10/15/21,2.2413E+13,6.34108E+12,2.87541E+13
10/14/21,2.23958E+13,6.33234E+12,2.87282E+13
10/13/21,2.21518E+13,6.27702E+12,2.84288E+13
10/12/21,2.21434E+13,6.28547E+12,2.84289E+13
10/8/21,2.21501E+13,6.2788E+12,2.84289E+13
10/7/21,2.21537E+13,6.27522E+12,2.84289E+13
10/6/21,2.21578E+13,6.2711E+12,2.84289E+13
10/5/21,2.2157E+13,6.27185E+12,2.84289E+13
10/4/21,2.21796E+13,6.24925E+12,2.84289E+13
10/1/21,2.2199E+13,6.2299E+12,2.84289E+13
9/30/21,2.22829E+13,6.14602E+12,2.84289E+13
9/29/21,2.22705E+13,6.1566E+12,2.84271E+13
9/28/21,2.22641E+13,6.16302E+12,2.84271E+13
9/27/21,2.22563E+13,6.17079E+12,2.84271E+13
9/24/21,2.22586E+13,6.1686E+12,2.84272E+13
9/23/21,2.22688E+13,6.15841E+12,2.84272E+13
9/22/21,2.22723E+13,6.15492E+12,2.84272E+13
9/21/21,2.22614E+13,6.1658E+12,2.84272E+13
9/20/21,2.22728E+13,6.15436E+12,2.84272E+13
9/17/21,2.22783E+13,6.14896E+12,2.84272E+13
9/16/21,2.22842E+13,6.14304E+12,2.84272E+13
9/15/21,2.22941E+13,6.13318E+12,2.84272E+13
9/14/21,2.22829E+13,6.14432E+12,2.84272E+13
9/13/21,2.22897E+13,6.13757E+12,2.84272E+13
9/10/21,2.22933E+13,6.13398E+12,2.84273E+13
9/9/21,2.2295E+13,6.13224E+12,2.84273E+13
9/8/21,2.22934E+13,6.13388E+12,2.84273E+13
9/7/21,2.22827E+13,6.14458E+12,2.84273E+13
9/3/21,2.22903E+13,6.13702E+12,2.84273E+13
9/2/21,2.22823E+13,6.14506E+12,2.84273E+13
9/1/21,2.22927E+13,6.13465E+12,2.84273E+13
8/31/21,2.22545E+13,6.17277E+12,2.84273E+13
8/30/21,2.22469E+13,6.18062E+12,2.84275E+13
8/27/21,2.22437E+13,6.1839E+12,2.84276E+13
8/26/21,2.22411E+13,6.18647E+12,2.84276E+13
8/25/21,2.2249E+13,6.17862E+12,2.84276E+13
8/24/21,2.2238E+13,6.18961E+12,2.84276E+13
8/23/21,2.22516E+13,6.17601E+12,2.84276E+13
8/20/21,2.22564E+13,6.17119E+12,2.84276E+13
8/19/21,2.2259E+13,6.16862E+12,2.84276E+13
8/18/21,2.22655E+13,6.1621E+12,2.84276E+13
8/17/21,2.22504E+13,6.17722E+12,2.84276E+13
8/16/21,2.22645E+13,6.16311E+12,2.84276E+13
8/13/21,2.22753E+13,6.15239E+12,2.84277E+13
8/12/21,2.22752E+13,6.15246E+12,2.84277E+13
8/11/21,2.22791E+13,6.14851E+12,2.84276E+13
8/10/21,2.22617E+13,6.16595E+12,2.84276E+13
8/9/21,2.22708E+13,6.15682E+12,2.84277E+13
8/6/21,2.22786E+13,6.14913E+12,2.84277E+13
8/5/21,2.22775E+13,6.15023E+12,2.84277E+13
8/4/21,2.22805E+13,6.14716E+12,2.84277E+13
8/3/21,2.22814E+13,6.14628E+12,2.84277E+13
8/2/21,2.22933E+13,6.13442E+12,2.84277E+13
7/30/21,2.22846E+13,6.14309E+12,2.84277E+13
7/29/21,2.2267E+13,6.1931E+12,2.84601E+13
7/28/21,2.22891E+13,6.1945E+12,2.84836E+13
7/27/21,2.22897E+13,6.19819E+12,2.84879E+13
7/26/21,2.22998E+13,6.18853E+12,2.84883E+13
7/23/21,2.22995E+13,6.17541E+12,2.84749E+13
7/22/21,2.22962E+13,6.17512E+12,2.84713E+13
7/21/21,2.23032E+13,6.17093E+12,2.84742E+13
7/20/21,2.2304E+13,6.18927E+12,2.84933E+13
7/19/21,2.23442E+13,6.18901E+12,2.85332E+13
7/16/21,2.23443E+13,6.17871E+12,2.8523E+13
7/15/21,2.23454E+13,6.17676E+12,2.85221E+13
7/14/21,2.22908E+13,6.17038E+12,2.84612E+13
7/13/21,2.22897E+13,6.18741E+12,2.84771E+13
7/12/21,2.23147E+13,6.17552E+12,2.84902E+13
7/9/21,2.2315E+13,6.17047E+12,2.84855E+13
7/8/21,2.23148E+13,6.16538E+12,2.84802E+13
7/7/21,2.23068E+13,6.1657E+12,2.84725E+13
7/6/21,2.23066E+13,6.15896E+12,2.84656E+13
7/2/21,2.23281E+13,6.15249E+12,2.84806E+13
7/1/21,2.23278E+13,6.15872E+12,2.84865E+13
6/30/21,2.23298E+13,6.19961E+12,2.85294E+13
6/29/21,2.21827E+13,6.14964E+12,2.83323E+13
6/28/21,2.22068E+13,6.14446E+12,2.83512E+13
6/25/21,2.22057E+13,6.13161E+12,2.83373E+13
6/24/21,2.21878E+13,6.13415E+12,2.83219E+13
6/23/21,2.21834E+13,6.12152E+12,2.83049E+13
6/22/21,2.21806E+13,6.13805E+12,2.83187E+13
6/21/21,2.21752E+13,6.12855E+12,2.83037E+13
