date,value
2015-01-07,971966000000.0
2015-01-14,990210000000.0
2015-01-21,958044000000.0
2015-01-28,944807000000.0
2015-02-04,989623000000.0
2015-02-11,974909000000.0
2015-02-18,978533000000.0
2015-02-25,979312000000.0
2015-03-04,968314000000.0
2015-03-11,995950000000.0
2015-03-18,998211000000.0
2015-03-25,962844000000.0
2015-04-01,992035000000.0
2015-04-08,993313000000.0
2015-04-15,997541000000.0
2015-04-22,964683000000.0
2015-04-29,946001000000.0
2015-05-06,1027287000000.0
2015-05-13,1015100000000.0
2015-05-20,984252000000.0
2015-05-27,980904000000.0
2015-06-03,1030960000000.0
2015-06-10,978810000000.0
2015-06-17,960004000000.0
2015-06-24,901411000000.0
2015-07-01,950923000000.0
2015-07-08,923640000000.0
2015-07-15,954805000000.0
2015-07-22,929044000000.0
2015-07-29,923458000000.0
2015-08-05,978758000000.0
2015-08-12,956542000000.0
2015-08-19,989041000000.0
2015-08-26,1007093000000.0
2015-09-02,1034289000000.0
2015-09-09,999308000000.0
2015-09-16,1028372000000.0
2015-09-23,1001207000000.0
2015-09-30,946999000000.0
2015-10-07,964417000000.0
2015-10-14,996548000000.0
2015-10-21,1021710000000.0
2015-10-28,989542000000.0
2015-11-04,1030447000000.0
2015-11-11,1009587000000.0
2015-11-18,1015051000000.0
2015-11-25,884230000000.0
2015-12-02,966331000000.0
2015-12-09,1019886000000.0
2015-12-16,1024371000000.0
2015-12-23,959351000000.0
2015-12-30,894729000000.0
2016-01-06,999610000000.0
2016-01-13,1026216000000.0
2016-01-20,1037661000000.0
2016-01-27,1025786000000.0
2016-02-03,1063660000000.0
2016-02-10,1047337000000.0
2016-02-17,1069256000000.0
2016-02-24,1065776000000.0
2016-03-02,1093393000000.0
2016-03-09,1075734000000.0
2016-03-16,1058173000000.0
2016-03-23,1048151000000.0
2016-03-30,987393000000.0
2016-04-06,1025723000000.0
2016-04-13,1050679000000.0
2016-04-20,1021824000000.0
2016-04-27,998214000000.0
2016-05-04,1019114000000.0
2016-05-11,1031308000000.0
2016-05-18,1054147000000.0
2016-05-25,1029781000000.0
2016-06-01,1109696000000.0
2016-06-08,1104765000000.0
2016-06-15,1099740000000.0
2016-06-22,1038982000000.0
2016-06-29,1064901000000.0
2016-07-06,1080565000000.0
2016-07-13,1112409000000.0
2016-07-20,1060388000000.0
2016-07-27,1050230000000.0
2016-08-03,1084470000000.0
2016-08-10,1053460000000.0
2016-08-17,1082435000000.0
2016-08-24,1079991000000.0
2016-08-31,1070101000000.0
2016-09-07,1105584000000.0
2016-09-14,1148969000000.0
2016-09-21,1111173000000.0
2016-09-28,1045945000000.0
