date,value
2015-01-07,664473000000.0
2015-01-14,654596000000.0
2015-01-21,635509000000.0
2015-01-28,628683000000.0
2015-02-04,685049000000.0
2015-02-11,635322000000.0
2015-02-18,650928000000.0
2015-02-25,674143000000.0
2015-03-04,660255000000.0
2015-03-11,665504000000.0
2015-03-18,668521000000.0
2015-03-25,647065000000.0
2015-04-01,691269000000.0
2015-04-08,683348000000.0
2015-04-15,669222000000.0
2015-04-22,651169000000.0
2015-04-29,643342000000.0
2015-05-06,700427000000.0
2015-05-13,675956000000.0
2015-05-20,675077000000.0
2015-05-27,683141000000.0
2015-06-03,710376000000.0
2015-06-10,666297000000.0
2015-06-17,667350000000.0
2015-06-24,631105000000.0
2015-07-01,659150000000.0
2015-07-08,624201000000.0
2015-07-15,642356000000.0
2015-07-22,622096000000.0
2015-07-29,620567000000.0
2015-08-05,665615000000.0
2015-08-12,642343000000.0
2015-08-19,663249000000.0
2015-08-26,688680000000.0
2015-09-02,727237000000.0
2015-09-09,688494000000.0
2015-09-16,704916000000.0
2015-09-23,680798000000.0
2015-09-30,656362000000.0
2015-10-07,651822000000.0
2015-10-14,669328000000.0
2015-10-21,729767000000.0
2015-10-28,690347000000.0
2015-11-04,698982000000.0
2015-11-11,705908000000.0
2015-11-18,685319000000.0
2015-11-25,562022000000.0
2015-12-02,651863000000.0
2015-12-09,655381000000.0
2015-12-16,669028000000.0
2015-12-23,633094000000.0
2015-12-30,590937000000.0
2016-01-06,674569000000.0
2016-01-13,662987000000.0
2016-01-20,689740000000.0
2016-01-27,650918000000.0
2016-02-03,698829000000.0
2016-02-10,666393000000.0
2016-02-17,679272000000.0
2016-02-24,671464000000.0
2016-03-02,689219000000.0
2016-03-09,677496000000.0
2016-03-16,691638000000.0
2016-03-23,679058000000.0
2016-03-30,678421000000.0
2016-04-06,668420000000.0
2016-04-13,694689000000.0
2016-04-20,696080000000.0
2016-04-27,690346000000.0
2016-05-04,686443000000.0
2016-05-11,684795000000.0
2016-05-18,719358000000.0
2016-05-25,716282000000.0
2016-06-01,753056000000.0
2016-06-08,740219000000.0
2016-06-15,712463000000.0
2016-06-22,632455000000.0
2016-06-29,679869000000.0
2016-07-06,723812000000.0
2016-07-13,718869000000.0
2016-07-20,680912000000.0
2016-07-27,679167000000.0
2016-08-03,750040000000.0
2016-08-10,670033000000.0
2016-08-17,706734000000.0
2016-08-24,701270000000.0
2016-08-31,726830000000.0
2016-09-07,711918000000.0
