Date, Tri_Party_vol, GC_vol , Bilateral_vol , Tri_Party_rate , GC_rate , Bilateral_rate 
8/22/14,234,82,301,5,5,7.049833887
8/25/14,226,75,342,5,5,5
8/26/14,224,76,334,5,5,5
8/27/14,220,74,328,4,7.972972973,3.103658537
8/28/14,215,63,332,4,4,4
8/29/14,208,81,299,5,5,5
9/2/14,233,81,366,5,5,5
9/3/14,228,88,361,5,5,5
9/4/14,227,80,353,5,8.8375,6
9/5/14,224,104,321,5,5,7.021806854
9/8/14,215,74,332,5,5,5
9/9/14,217,56,338,5,5,5
9/10/14,218,60,306,4,8.633333333,5
9/11/14,221,85,319,4,7.6,5
9/12/14,225,66,303,4,4,5.96039604
9/15/14,227,63,357,5,9.603174603,6
9/16/14,222,69,347,5,5,5
9/17/14,215,85,319,4,7.529411765,5
9/18/14,221,61,315,4,4,4
9/19/14,217,73,318,4,4,4
9/22/14,210,62,332,4,4,4
9/23/14,217,64,322,3,3,3
9/24/14,209,70,313,3,3,3
9/25/14,209,54,311,3,3,3
9/26/14,207,55,317,3,3,3
9/29/14,195,63,313,3,3,3
9/30/14,153,33,327,0,0,0
10/1/14,187,92,341,3,6.032608696,2.181818182
10/2/14,210,74,335,4,4,4
10/3/14,201,75,349,4,7.68,5
10/6/14,197,71,333,4,4,4
10/7/14,199,66,317,4,8.015151515,5
10/8/14,201,71,332,4,4,4
10/9/14,217,58,319,4,8.74137931,5
10/10/14,211,92,332,5,8.293478261,6
10/14/14,216,91,337,6,6,6
10/15/14,237,73,325,7,11.24657534,9.953846154
10/16/14,268,76,344,9,9,11
10/17/14,245,74,343,9,13.31081081,13.86005831
10/20/14,242,78,332,7,11.1025641,8
10/21/14,233,77,323,7,7,8.959752322
10/22/14,227,72,311,6,6,7.961414791
10/23/14,231,66,302,6,10.5,7
10/24/14,234,58,301,7,7,8.970099668
10/27/14,221,65,326,8,8,9.877300613
10/28/14,234,65,305,6,6,7.980327869
10/29/14,217,66,310,6,6,7.912903226
10/30/14,219,66,318,7,7,10.79245283
10/31/14,210,81,334,8,11.59259259,16.48502994
11/3/14,209,89,340,7,10.34831461,11.75294118
11/4/14,199,74,330,5,8.689189189,9.654545455
11/5/14,201,73,327,5,5,8.675840979
11/6/14,217,68,313,5,5,8.821086262
11/7/14,221,53,312,5,5,6.878205128
11/10/14,227,70,303,5,5,6.98019802
11/12/14,224,75,304,5,8.986666667,7.983552632
11/13/14,231,81,308,6,9.851851852,9.012987013
11/14/14,233,72,300,7,7,11.03333333
11/17/14,235,73,335,8,8,11.83880597
11/18/14,217,75,314,7,7,8.929936306
11/19/14,214,64,329,6,6,7.844984802
11/20/14,217,67,316,7,7,8.898734177
11/21/14,208,83,298,7,7,8.976510067
11/24/14,222,77,300,7,7,8.996666667
11/25/14,215,72,299,7,7,8.959866221
11/26/14,208,52,271,7,7,8.959409594
11/28/14,209,58,278,8,8,13.88129496
12/1/14,232,73,322,10,10,15.84161491
12/2/14,212,65,320,10,14.26153846,14.73125
12/3/14,210,68,315,10,10,13.76507937
12/4/14,224,73,313,10,10,13.89776358
12/5/14,217,77,312,11,11,16.82692308
12/8/14,214,90,312,10,10,13.94871795
12/9/14,216,97,326,10,10,11.9601227
12/10/14,224,70,332,9,13.2,10
12/11/14,237,85,325,10,13.78823529,12.99076923
12/12/14,228,73,310,10,10,13.94193548
12/15/14,251,68,322,9,13.69117647,13.98136646
12/16/14,233,80,321,10,10,15.92523364
12/17/14,242,73,316,9,13.31506849,11.99683544
12/18/14,233,83,326,10,13.80722892,12.96932515
12/19/14,225,64,302,10,10,13.91390728
12/22/14,215,70,310,9,9,10.91935484
12/23/14,210,54,323,7,7,8.817337461
12/24/14,205,57,291,7,11.59649123,8
12/29/14,207,60,286,7,7,8.933566434
12/30/14,180,61,294,7,7,8.819727891
12/31/14,164,58,301,6,9.827586207,8.737541528
1/2/15,187,81,345,8,8,11.55362319
1/5/15,198,70,345,7,7,8.776811594
1/6/15,198,70,344,6,6,7.779069767
1/7/15,198,66,324,5,9,7.814814815
1/8/15,206,63,332,6,6,7.810240964
1/9/15,202,75,307,6,6,9.804560261
1/12/15,209,74,322,6,6,9.757763975
1/13/15,211,67,300,6,10.14925373,8.926666667
1/14/15,230,68,301,6,10.38235294,8.990033223
1/15/15,224,69,305,7,11.24637681,11.92131148
1/16/15,213,72,303,7,10.95833333,11.88118812
1/20/15,219,81,321,6,6,11.80373832
1/21/15,205,52,297,5,5,8.730639731
1/22/15,195,69,323,5,5,6.817337461
1/23/15,201,56,308,6,6,7.834415584
1/26/15,180,53,285,5,9.396226415,7.81754386
1/27/15,184,51,270,5,5,6.87037037
1/28/15,195,70,319,5,5,5
1/29/15,206,78,343,5,5,5
